DATE,TIME,HPCP
19950112,7:00,0.01
19950114,15:00,0.02
19950115,13:00,0.03
19950115,14:00,0.02
19950115,15:00,0.13
19950115,16:00,0.07
19950115,17:00,0.03
19950115,18:00,0.02
19950116,19:00,0.01
19950119,0:00,0.01
19950119,4:00,0.01
19950119,5:00,0.01
19950119,7:00,0.01
19950119,13:00,0.01
19950119,15:00,0.01
19950119,17:00,0.01
19950119,18:00,0.01
19950119,19:00,0.01
19950119,21:00,0.02
19950119,22:00,0.05
19950119,23:00,0.02
19950120,3:00,0.35
19950120,4:00,0.28
19950120,5:00,0.04
19950128,14:00,0.04
19950128,15:00,0.06
19950128,16:00,0.01
19950128,18:00,0.01
19950128,19:00,0.01
19950129,1:00,0.01
19950130,12:00,0.04
19950130,13:00,0.1
19950130,15:00,0.01
19950130,16:00,0.03
19950130,17:00,0.06
19950130,18:00,0.1
19950130,19:00,0.02
19950130,20:00,0.01
19950130,21:00,0.01
19950201,1:00,0
19950204,4:00,0.04
19950204,5:00,0.01
19950204,6:00,0.16
19950204,7:00,0.08
19950215,8:00,0.04
19950215,9:00,0.06
19950215,10:00,0.07
19950215,11:00,0.05
19950215,12:00,0.05
19950215,13:00,0.03
19950215,14:00,0.02
19950215,15:00,0.08
19950215,16:00,0.06
19950215,17:00,0.11
19950215,18:00,0.04
19950215,19:00,0.01
19950215,21:00,0.01
19950216,0:00,0.03
19950216,1:00,0.17
19950216,2:00,0.14
19950216,3:00,0.02
19950216,4:00,0.05
19950216,5:00,0.02
19950216,6:00,0.01
19950216,9:00,0.02
19950216,10:00,0.02
19950216,11:00,0.13
19950216,12:00,0.03
19950216,13:00,0.04
19950216,14:00,0.02
19950216,15:00,0.11
19950216,16:00,0.04
19950216,17:00,0.03
19950216,18:00,0.05
19950216,20:00,0.04
19950216,21:00,0.09
19950216,22:00,0.02
19950216,23:00,0.01
19950217,0:00,0.01
19950217,1:00,0.01
19950217,2:00,0.01
19950217,4:00,0.01
19950217,5:00,0.03
19950217,6:00,0.05
19950217,7:00,0.01
19950217,8:00,0.01
19950217,9:00,0.01
19950217,10:00,0.01
19950218,5:00,0.01
19950218,7:00,0.04
19950218,8:00,0.05
19950218,9:00,0.03
19950218,10:00,0.04
19950218,11:00,0.03
19950218,12:00,0.06
19950218,13:00,0.02
19950218,14:00,0.01
19950228,8:00,0.01
19950228,9:00,0.03
19950228,10:00,0.04
19950228,11:00,0.03
19950228,12:00,0.01
19950228,15:00,0.01
19950228,20:00,0.02
19950228,21:00,0.06
19950228,22:00,0.05
19950228,23:00,0.06
19950301,0:00,0.02
19950301,1:00,0.05
19950301,2:00,0.16
19950301,3:00,0.09
19950301,4:00,0.04
19950301,5:00,0.05
19950301,6:00,0.03
19950301,7:00,0.05
19950301,8:00,0.03
19950301,9:00,0.03
19950301,10:00,0.05
19950301,11:00,0.03
19950301,12:00,0.01
19950301,13:00,0.01
19950301,15:00,0.01
19950301,17:00,0.01
19950303,22:00,0.03
19950303,23:00,0.01
19950304,0:00,0.02
19950304,1:00,0.03
19950304,4:00,0.01
19950304,10:00,0.01
19950306,1:00,0.01
19950306,3:00,0.06
19950306,4:00,0.04
19950306,5:00,0.01
19950306,10:00,0.03
19950306,11:00,0.01
19950306,12:00,0.07
19950306,13:00,0.03
19950306,14:00,0.01
19950308,9:00,0.02
19950308,10:00,0.21
19950308,11:00,0.09
19950308,14:00,0.12
19950308,15:00,0.12
19950308,18:00,0.01
19950308,20:00,0.17
19950308,21:00,0.21
19950308,22:00,0.23
19950308,23:00,0.2
19950309,0:00,0.02
19950309,1:00,0.02
19950321,6:00,0.04
19950321,7:00,0.22
19950321,8:00,0.04
19950323,8:00,0.01
19950323,9:00,0.1
19950323,10:00,0.03
19950323,11:00,0.05
19950328,1:00,0.01
19950401,1:00,0
19950412,21:00,0.01
19950412,22:00,0.01
19950412,23:00,0.13
19950413,0:00,0.03
19950413,1:00,0.07
19950413,2:00,0.17
19950413,3:00,0.02
19950413,5:00,0.18
19950413,6:00,0.04
19950417,17:00,0.03
19950417,18:00,0.02
19950417,19:00,0.01
19950417,20:00,0.02
19950423,20:00,0.02
19950423,21:00,0.07
19950423,22:00,0.13
19950423,23:00,0.03
19950424,0:00,0.01
19950424,3:00,0.03
19950424,4:00,0.08
19950424,5:00,0.38
19950424,6:00,0.03
19950424,11:00,0.02
19950424,12:00,0.12
19950424,13:00,0.03
19950424,16:00,0.01
19950424,18:00,0.01
19950424,19:00,0.01
19950430,10:00,0.02
19950430,15:00,0.28
19950430,18:00,0.42
19950430,19:00,0.28
19950430,20:00,0.04
19950501,1:00,0
19950502,0:00,0.02
19950502,1:00,0.11
19950502,2:00,0.16
19950502,3:00,0.31
19950502,4:00,0.22
19950502,5:00,0.06
19950502,6:00,0.15
19950502,7:00,0.02
19950502,8:00,0.01
19950502,16:00,0.02
19950502,17:00,0.01
19950502,19:00,0.02
19950502,21:00,0.01
19950505,0:00,0.01
19950509,21:00,0.02
19950509,23:00,0.01
19950510,3:00,0.01
19950510,4:00,0.02
19950510,7:00,0.23
19950510,8:00,0.02
19950511,14:00,0.01
19950512,3:00,0.09
19950512,4:00,0.02
19950512,5:00,0.02
19950514,12:00,0.13
