STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950112 07:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950114 15:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950115 13:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950115 14:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950115 15:00,0.13, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950115 16:00,0.07, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950115 17:00,0.03, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950115 18:00,0.02, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950116 19:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950119 00:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950119 04:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950119 05:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950119 07:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950119 13:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950119 15:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950119 17:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950119 18:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950119 19:00,0.01, , 
COOP:446139,NORFOLK INTERNATIONAL AIRPORT VA US,7.3,36.9,-76.2,19950119 21:00,0.02, , 
